,Category,Own,Rent,Total,%Own,%Rent
0,Family households,56066627,22630476,78697103,71.2435716979315,28.756428302068503
1,Family households!!Married-couple family,46051807,11765141,57816948,79.65105145294076,20.348948547059244
2,Family households!!Married-couple family!!With own children of the householder under 18 years,16636528,6103898,22740426,73.15838322465903,26.84161677534097
3,Family households!!Married-couple family!!No own children of the householder under 18 years,29415279,5661243,35076522,83.86030690271971,16.139693097280283
4,Family households!!Other family,10014820,10865335,20880155,47.96334126829997,52.03665873170002
5,"Family households!!Other family!!Male householder, no wife present",3123184,2698791,5821975,53.644751136856485,46.35524886314352
6,"Family households!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years",1274122,1455220,2729342,46.682387183431025,53.31761281656897
7,"Family households!!Other family!!Male householder, no wife present!!No own children of the householder under 18 years",1849062,1243571,3092633,59.78924754408299,40.21075245591702
8,"Family households!!Other family!!Female householder, no husband present",6891636,8166544,15058180,45.766726124936746,54.23327387506326
9,"Family households!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years",2513822,5451509,7965331,31.559542221158164,68.44045777884183
10,"Family households!!Other family!!Female householder, no husband present!!No own children of the householder under 18 years",4377814,2715035,7092849,61.72151698139915,38.278483018600845
11,Nonfamily households,20378183,20654842,41033025,49.662882519629,50.337117480371
