,zip_codes,Estimate!!Total,Movers Total,%Movers,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
0,20006,2756,2041,0.7405660377358491,38.898590000000006,-77.04134,Washington,DC,District of Columbia,True,,2756,3669.1,11001,District of Columbia,{'11001':100},District of Columbia,11001,False,False,America/New_York
1,32508,5354,3597,0.6718341426970489,30.354779999999998,-87.30278,Pensacola,FL,Florida,True,,5381,278.4,12033,Escambia,{'12033':100},Escambia,12033,False,False,America/Chicago
2,23604,6722,4147,0.6169294852722405,37.13163,-76.58874,Fort Eustis,VA,Virginia,True,,6831,182.3,51700,Newport News,{'51700':100},Newport News,51700,False,False,America/New_York
3,40121,8898,5284,0.5938413126545291,37.92933,-85.94141,Fort Knox,KY,Kentucky,True,,8965,115.4,21093,Hardin,"{'21093':73.5,'21163':26.5}",Hardin|Meade,21093|21163,False,False,America/New_York
4,55415,4380,2547,0.5815068493150685,44.974779999999996,-93.25765,Minneapolis,MN,Minnesota,True,,4480,2350.2,27053,Hennepin,{'27053':100},Hennepin,27053,False,False,America/Chicago
5,91210,681,394,0.57856093979442,34.14454,-118.2565,Glendale,CA,California,True,,689,2877.0,6037,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles
6,63102,2188,1264,0.5776965265082267,38.6352,-90.18644,Saint Louis,MO,Missouri,True,,2201,626.9,29510,St. Louis,{'29510':100},St. Louis,29510,False,False,America/Chicago
7,28547,25137,14230,0.5660977841428969,34.67125,-77.37368000000001,Camp Lejeune,NC,North Carolina,True,,25420,325.5,37133,Onslow,{'37133':100},Onslow,37133,False,False,America/New_York
8,78236,6808,3839,0.5638954171562868,29.378109999999996,-98.64431,Jbsa Lackland,TX,Texas,True,,6882,423.3,48029,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
9,74103,2134,1193,0.5590440487347704,36.15563,-95.9945,Tulsa,OK,Oklahoma,True,,2134,1821.7,40143,Tulsa,{'40143':100},Tulsa,40143,False,False,America/Chicago
10,76311,8709,4809,0.5521873923527385,33.96947,-98.50898000000001,Sheppard Afb,TX,Texas,True,,8784,1757.8,48485,Wichita,{'48485':100},Wichita,48485,False,False,America/Chicago
11,28543,4850,2626,0.5414432989690722,34.73362,-77.37881,Tarawa Terrace,NC,North Carolina,True,,5153,887.4,37133,Onslow,{'37133':100},Onslow,37133,False,False,America/New_York
12,94704,29158,15557,0.5335413951574182,37.86657,-122.25798999999999,Berkeley,CA,California,True,,29190,9255.7,6001,Alameda,{'06001':100},Alameda,06001,False,False,America/Los_Angeles
13,30905,7916,4207,0.531455280444669,33.41474,-82.14267,Augusta,GA,Georgia,True,,7991,247.2,13245,Richmond,{'13245':100},Richmond,13245,False,False,America/New_York
14,46204,7985,4237,0.5306199123356293,39.77152,-86.15688,Indianapolis,IN,Indiana,True,,8008,1760.8,18097,Marion,{'18097':100},Marion,18097,False,False,America/Indiana/Indianapolis
15,78705,33841,17395,0.5140214532667474,30.29437,-97.73855,Austin,TX,Texas,True,,33948,5511.2,48453,Travis,{'48453':100},Travis,48453,False,False,America/Chicago
16,24011,443,227,0.5124153498871332,37.27057,-79.94122,Roanoke,VA,Virginia,True,,443,492.5,51770,Roanoke,{'51770':100},Roanoke,51770,False,False,America/New_York
17,2163,2401,1230,0.51228654727197,42.36636,-71.12076,Boston,MA,Massachusetts,True,,2401,10057.3,25025,Suffolk,{'25025':100},Suffolk,25025,False,False,America/New_York
18,31315,7264,3693,0.508397577092511,31.893829999999998,-81.59014,Fort Stewart,GA,Georgia,True,,7640,242.0,13179,Liberty,{'13179':100},Liberty,13179,False,False,America/New_York
19,85613,5332,2706,0.5075018754688673,31.5669,-110.3851,Fort Huachuca,AZ,Arizona,True,,5480,46.2,4003,Cochise,{'04003':100},Cochise,04003,False,False,America/Phoenix
20,78234,5346,2665,0.4985035540591096,29.460390000000004,-98.43924,Jbsa Ft Sam Houston,TX,Texas,True,,5430,605.0,48029,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
21,32403,3285,1626,0.4949771689497717,30.053379999999997,-85.5568,Panama City,FL,Florida,True,,3374,26.2,12005,Bay,{'12005':100},Bay,12005,False,False,America/Chicago
22,45433,2734,1352,0.49451353328456477,39.81256,-84.05835,Dayton,OH,Ohio,True,,2734,71.9,39057,Greene,"{'39057':90.35,'39113':9.65}",Greene|Montgomery,39057|39113,False,False,America/New_York
23,78215,2834,1399,0.4936485532815808,29.44125,-98.48048,San Antonio,TX,Texas,True,,2974,395.5,48029,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
24,90024,50059,24703,0.49347769631834437,34.06568,-118.43506000000001,Los Angeles,CA,California,True,,50288,6239.3,6037,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles
25,55402,408,201,0.49264705882352944,44.97605,-93.2716,Minneapolis,MN,Minnesota,True,,408,799.3,27053,Hennepin,{'27053':100},Hennepin,27053,False,False,America/Chicago
26,77840,59398,29243,0.49232297383750295,30.609070000000003,-96.32603,College Station,TX,Texas,True,,59971,1936.0,48041,Brazos,{'48041':100},Brazos,48041,False,False,America/Chicago
27,65305,3901,1917,0.49141245834401437,38.72939,-93.55447,Whiteman Air Force Base,MO,Missouri,True,,4029,171.4,29101,Johnson,{'29101':100},Johnson,29101,False,False,America/Chicago
28,92278,4712,2303,0.4887521222410866,34.229890000000005,-116.05507,Twentynine Palms,CA,California,True,,4737,1858.4,6071,San Bernardino,{'06071':100},San Bernardino,06071,False,False,America/Los_Angeles
29,99506,6672,3255,0.48785971223021585,61.2631,-149.80534,Jber,AK,Alaska,True,,7029,168.9,2020,Anchorage,{'02020':100},Anchorage,02020,False,False,America/Anchorage
