,zip_codes,Estimate!!Total,25-44 Renters,%25-44 Renters,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
49,2163,517,496,0.9593810444874274,42.36636,-71.12076,Boston,MA,Massachusetts,True,,2401,10057.3,25025,Suffolk,{'25025':100},Suffolk,25025,False,False,America/New_York
50,92278,298,264,0.8859060402684564,34.229890000000005,-116.05507,Twentynine Palms,CA,California,True,,4737,1858.4,6071,San Bernardino,{'06071':100},San Bernardino,06071,False,False,America/Los_Angeles
9,79908,854,725,0.8489461358313818,31.857190000000003,-106.38038,El Paso,TX,Texas,True,,5907,72.7,48141,El Paso,{'48141':100},El Paso,48141,False,False,America/Denver
91,43210,335,282,0.8417910447761194,40.00521,-83.02269,Columbus,OH,Ohio,True,,12530,2336.4,39049,Franklin,{'39049':100},Franklin,39049,False,False,America/New_York
85,20670,363,305,0.8402203856749312,38.28221,-76.42041,Patuxent River,MD,Maryland,True,,1552,41.6,24037,St. Mary's,{'24037':100},St. Mary's,24037,False,False,America/New_York
754,1731,555,456,0.8216216216216217,42.45675,-71.27951999999999,Hanscom Afb,MA,Massachusetts,True,,2061,680.4,25017,Middlesex,{'25017':100},Middlesex,25017,False,False,America/New_York
189,78236,402,330,0.8208955223880597,29.378109999999996,-98.64431,Jbsa Lackland,TX,Texas,True,,6882,423.3,48029,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
716,85613,905,738,0.8154696132596685,31.5669,-110.3851,Fort Huachuca,AZ,Arizona,True,,5480,46.2,4003,Cochise,{'04003':100},Cochise,04003,False,False,America/Phoenix
209,8640,878,715,0.8143507972665148,40.0035,-74.58933,Joint Base Mdl,NJ,New Jersey,True,,7753,139.0,34005,Burlington,{'34005':100},Burlington,34005,False,False,America/New_York
384,33621,563,450,0.7992895204262878,27.843609999999998,-82.50103,Tampa,FL,Florida,True,,2533,76.2,12057,Hillsborough,{'12057':100},Hillsborough,12057,False,False,America/New_York
849,28547,2085,1656,0.7942446043165468,34.67125,-77.37368000000001,Camp Lejeune,NC,North Carolina,True,,25420,325.5,37133,Onslow,{'37133':100},Onslow,37133,False,False,America/New_York
505,23604,785,618,0.7872611464968153,37.13163,-76.58874,Fort Eustis,VA,Virginia,True,,6831,182.3,51700,Newport News,{'51700':100},Newport News,51700,False,False,America/New_York
775,79607,628,487,0.7754777070063694,32.42853,-99.82545999999999,Dyess Afb,TX,Texas,True,,3268,291.6,48441,Taylor,{'48441':100},Taylor,48441,False,False,America/Chicago
330,99011,759,584,0.769433465085639,47.618829999999996,-117.64811999999999,Fairchild Air Force Base,WA,Washington,True,,3118,163.8,53063,Spokane,{'53063':100},Spokane,53063,False,False,America/Los_Angeles
183,78234,953,729,0.7649527806925498,29.460390000000004,-98.43924,Jbsa Ft Sam Houston,TX,Texas,True,,5430,605.0,48029,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
740,95903,343,260,0.7580174927113703,39.102509999999995,-121.36833,Beale Afb,CA,California,True,,1630,45.9,6115,Yuba,{'06115':100},Yuba,06115,False,False,America/Los_Angeles
676,32227,411,310,0.754257907542579,30.39003,-81.40722,Jacksonville,FL,Florida,True,,3087,750.6,12031,Duval,{'12031':100},Duval,12031,False,False,America/New_York
36,84056,936,695,0.7425213675213675,41.126490000000004,-111.99016999999999,Hill Afb,UT,Utah,True,,3336,135.6,49011,Davis,{'49011':100},Davis,49011,False,False,America/Denver
544,31905,3589,2661,0.7414321538032879,32.37972,-84.90734,Fort Benning,GA,Georgia,True,,18110,160.7,13053,Chattahoochee,"{'01113':0.06,'13053':50.82,'13215':49.12}",Chattahoochee|Muscogee|Russell,13053|13215|01113,False,False,America/New_York
482,80902,2995,2211,0.7382303839732888,38.683170000000004,-104.80785999999999,Colorado Springs,CO,Colorado,True,,13208,330.8,8041,El Paso,{'08041':100},El Paso,08041,False,False,America/Denver
393,11109,2954,2163,0.7322274881516587,40.74589,-73.95751,Long Island City,NY,New York,True,,5981,27330.4,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York
341,10996,885,647,0.7310734463276836,41.38975,-73.97267,West Point,NY,New York,True,,6673,804.1,36071,Orange,{'36071':100},Orange,36071,False,False,America/New_York
664,73145,504,367,0.7281746031746031,35.41912,-97.3941,Oklahoma City,OK,Oklahoma,True,,3277,189.6,40109,Oklahoma,{'40109':100},Oklahoma,40109,False,False,America/Chicago
109,88330,973,703,0.7225077081192189,32.836529999999996,-106.0774,Holloman Air Force Base,NM,New Mexico,True,,3879,857.5,35035,Otero,{'35035':100},Otero,35035,False,False,America/Denver
336,29404,467,337,0.721627408993576,32.89864,-80.05028,Charleston Afb,SC,South Carolina,True,,1981,102.3,45019,Charleston,{'45019':100},Charleston,45019,False,False,America/New_York
67,92310,2500,1796,0.7184,35.26145,-116.69033999999999,Fort Irwin,CA,California,True,,9086,1141.0,6071,San Bernardino,{'06071':100},San Bernardino,06071,False,False,America/Los_Angeles
618,13603,3167,2273,0.7177139248500158,44.03703,-75.79779,Watertown,NY,New York,True,,9589,691.0,36045,Jefferson,{'36045':100},Jefferson,36045,False,False,America/New_York
260,76311,635,454,0.7149606299212599,33.96947,-98.50898000000001,Sheppard Afb,TX,Texas,True,,8784,1757.8,48485,Wichita,{'48485':100},Wichita,48485,False,False,America/Chicago
113,20755,2715,1940,0.714548802946593,39.105779999999996,-76.74679,Fort George G Meade,MD,Maryland,True,,10297,431.1,24003,Anne Arundel,{'24003':100},Anne Arundel,24003,False,False,America/New_York
79,80045,561,400,0.7130124777183601,39.74754,-104.83861,Aurora,CO,Colorado,True,,889,159.6,8001,Adams,{'08001':100},Adams,08001,False,False,America/Denver
804,71459,3504,2492,0.7111872146118722,31.076659999999997,-93.21793000000001,Fort Polk,LA,Louisiana,True,,11658,494.5,22115,Vernon,{'22115':100},Vernon,22115,False,False,America/Chicago
419,66442,3812,2711,0.7111752360965372,39.093309999999995,-96.78978000000001,Fort Riley,KS,Kansas,True,,16565,160.8,20161,Riley,"{'20061':40.87,'20161':59.13}",Riley|Geary,20161|20061,False,False,America/Chicago
47,55402,313,222,0.7092651757188498,44.97605,-93.2716,Minneapolis,MN,Minnesota,True,,408,799.3,27053,Hennepin,{'27053':100},Hennepin,27053,False,False,America/Chicago
731,32403,810,564,0.6962962962962963,30.053379999999997,-85.5568,Panama City,FL,Florida,True,,3374,26.2,12005,Bay,{'12005':100},Bay,12005,False,False,America/Chicago
855,32542,658,458,0.6960486322188449,30.55285,-86.57432,Eglin Afb,FL,Florida,True,,3081,82.2,12091,Okaloosa,{'12091':100},Okaloosa,12091,False,False,America/Chicago
