,NAME,Estimate!!Total,Estimate!!Total!!Owner occupied,Estimate!!Total!!Owner occupied!!Householder 15 to 24 years,Estimate!!Total!!Owner occupied!!Householder 25 to 34 years,Estimate!!Total!!Owner occupied!!Householder 35 to 44 years,Estimate!!Total!!Owner occupied!!Householder 45 to 54 years,Estimate!!Total!!Owner occupied!!Householder 55 to 59 years,Estimate!!Total!!Owner occupied!!Householder 60 to 64 years,Estimate!!Total!!Owner occupied!!Householder 65 to 74 years,Estimate!!Total!!Owner occupied!!Householder 75 to 84 years,Estimate!!Total!!Owner occupied!!Householder 85 years and over,Estimate!!Total!!Renter occupied,Estimate!!Total!!Renter occupied!!Householder 15 to 24 years,Estimate!!Total!!Renter occupied!!Householder 25 to 34 years,Estimate!!Total!!Renter occupied!!Householder 35 to 44 years,Estimate!!Total!!Renter occupied!!Householder 45 to 54 years,Estimate!!Total!!Renter occupied!!Householder 55 to 59 years,Estimate!!Total!!Renter occupied!!Householder 60 to 64 years,Estimate!!Total!!Renter occupied!!Householder 65 to 74 years,Estimate!!Total!!Renter occupied!!Householder 75 to 84 years,Estimate!!Total!!Renter occupied!!Householder 85 years and over,zip code tabulation area,15-34 Renters,%15-34 Renters
0,ZCTA5 28543,1956,28,11,17,0,0,0,0,0,0,0,1928,1200,601,97,20,6,0,0,4,0,28543,1801,0.9207566462167689
1,ZCTA5 02163,517,0,0,0,0,0,0,0,0,0,0,517,2,464,32,7,12,0,0,0,0,2163,466,0.9013539651837524
2,ZCTA5 37916,2584,51,47,0,0,0,0,0,0,4,0,2533,2047,274,28,96,49,39,0,0,0,37916,2321,0.8982198142414861
3,ZCTA5 29152,627,0,0,0,0,0,0,0,0,0,0,627,323,236,50,18,0,0,0,0,0,29152,559,0.8915470494417863
4,ZCTA5 32508,505,0,0,0,0,0,0,0,0,0,0,505,181,251,29,21,12,4,0,7,0,32508,432,0.8554455445544554
5,ZCTA5 57706,1001,5,5,0,0,0,0,0,0,0,0,996,463,377,152,0,0,0,0,0,4,57706,840,0.8391608391608392
6,ZCTA5 29404,467,0,0,0,0,0,0,0,0,0,0,467,100,282,55,30,0,0,0,0,0,29404,382,0.8179871520342612
7,ZCTA5 98315,1250,0,0,0,0,0,0,0,0,0,0,1250,289,703,216,42,0,0,0,0,0,98315,992,0.7936
8,ZCTA5 28307,4840,55,12,39,0,4,0,0,0,0,0,4785,1572,2260,564,338,51,0,0,0,0,28307,3832,0.7917355371900826
9,ZCTA5 78705,8559,902,119,117,130,155,106,104,134,20,17,7657,4385,2354,325,252,105,128,42,32,34,78705,6739,0.7873583362542353
10,ZCTA5 83648,1010,0,0,0,0,0,0,0,0,0,0,1010,308,482,184,32,0,4,0,0,0,83648,790,0.7821782178217822
11,ZCTA5 71459,3504,51,0,38,4,9,0,0,0,0,0,3453,820,1910,582,124,10,7,0,0,0,71459,2730,0.7791095890410958
12,ZCTA5 88330,973,9,0,9,0,0,0,0,0,0,0,964,215,538,165,18,0,0,28,0,0,88330,753,0.7738951695786228
13,ZCTA5 28547,2085,8,0,0,8,0,0,0,0,0,0,2077,259,1350,306,79,55,0,28,0,0,28547,1609,0.7717026378896883
14,ZCTA5 31315,2433,9,0,0,0,6,0,3,0,0,0,2424,885,950,414,162,7,6,0,0,0,31315,1835,0.7542129058775174
15,ZCTA5 58704,1564,27,27,0,0,0,0,0,0,0,0,1537,595,574,269,81,9,9,0,0,0,58704,1169,0.7474424552429667
16,ZCTA5 99506,2204,15,15,0,0,0,0,0,0,0,0,2189,744,901,415,94,9,16,10,0,0,99506,1645,0.7463702359346642
17,ZCTA5 42223,4559,16,0,8,0,0,8,0,0,0,0,4543,1324,2074,935,181,22,7,0,0,0,42223,3398,0.7453388901074797
18,ZCTA5 95903,343,0,0,0,0,0,0,0,0,0,0,343,59,196,64,24,0,0,0,0,0,95903,255,0.7434402332361516
19,ZCTA5 58204,728,2,0,0,0,2,0,0,0,0,0,726,234,302,174,13,3,0,0,0,0,58204,536,0.7362637362637363
20,ZCTA5 66442,3812,30,10,0,15,0,0,5,0,0,0,3782,888,1914,797,126,57,0,0,0,0,66442,2802,0.7350472193074502
