,NAME,Estimate!!Total,Estimate!!Total!!Owner-occupied housing units,Estimate!!Total!!Owner-occupied housing units!!Less than high school graduate,Estimate!!Total!!Owner-occupied housing units!!High school graduate (including equivalency),Estimate!!Total!!Owner-occupied housing units!!Some college or associate's degree,Estimate!!Total!!Owner-occupied housing units!!Bachelor's degree or higher,Estimate!!Total!!Renter-occupied housing units,Estimate!!Total!!Renter-occupied housing units!!Less than high school graduate,Estimate!!Total!!Renter-occupied housing units!!High school graduate (including equivalency),Estimate!!Total!!Renter-occupied housing units!!Some college or associate's degree,Estimate!!Total!!Renter-occupied housing units!!Bachelor's degree or higher,zip code tabulation area,HS or Higher Total,% HS or Higher
0,ZCTA5 78236,402,0,0,0,0,0,402,0,22,167,213,78236,402,1.0
1,ZCTA5 83118,390,288,0,151,137,0,102,0,56,46,0,83118,390,1.0
2,ZCTA5 05751,335,289,0,49,77,163,46,0,12,5,29,5751,335,1.0
3,ZCTA5 12486,567,541,0,69,170,302,26,0,2,10,14,12486,567,1.0
4,ZCTA5 02163,517,0,0,0,0,0,517,0,0,13,504,2163,517,1.0
5,ZCTA5 81023,517,475,0,99,120,256,42,0,3,39,0,81023,517,1.0
6,ZCTA5 21036,708,648,0,46,73,529,60,0,0,7,53,21036,708,1.0
7,ZCTA5 79541,336,260,0,54,95,111,76,0,55,21,0,79541,336,1.0
8,ZCTA5 50214,316,234,0,25,78,131,82,0,34,48,0,50214,316,1.0
9,ZCTA5 80482,515,283,0,13,51,219,232,0,22,107,103,80482,515,1.0
10,ZCTA5 54082,515,480,0,69,93,318,35,0,0,35,0,54082,515,1.0
11,ZCTA5 20861,568,568,0,41,66,461,0,0,0,0,0,20861,568,1.0
12,ZCTA5 85263,1350,1279,0,154,291,834,71,0,0,53,18,85263,1350,1.0
13,ZCTA5 05043,465,398,0,66,95,237,67,0,0,38,29,5043,465,1.0
14,ZCTA5 61526,294,294,0,80,87,127,0,0,0,0,0,61526,294,1.0
15,ZCTA5 37219,811,233,0,0,58,175,578,0,31,95,452,37219,811,1.0
16,ZCTA5 04085,706,694,0,123,300,271,12,0,0,12,0,4085,706,1.0
17,ZCTA5 84310,1514,1424,0,144,467,813,90,0,0,75,15,84310,1514,1.0
18,ZCTA5 12785,394,323,0,114,100,109,71,0,22,24,25,12785,394,1.0
19,ZCTA5 37201,437,204,0,0,62,142,233,0,18,0,215,37201,437,1.0
20,ZCTA5 34797,421,406,0,121,189,96,15,0,15,0,0,34797,421,1.0
21,ZCTA5 02108,1810,816,0,30,31,755,994,0,20,19,955,2108,1810,1.0
22,ZCTA5 61840,296,250,0,130,61,59,46,0,0,35,11,61840,296,1.0
23,ZCTA5 92278,298,0,0,0,0,0,298,0,44,221,33,92278,298,1.0
24,ZCTA5 22125,396,275,0,30,75,170,121,0,25,43,53,22125,396,1.0
25,ZCTA5 46365,397,348,0,236,64,48,49,0,0,31,18,46365,397,1.0
26,ZCTA5 19372,608,375,0,79,45,251,233,0,121,0,112,19372,608,1.0
27,ZCTA5 12942,397,367,0,52,81,234,30,0,10,3,17,12942,397,1.0
28,ZCTA5 85613,905,5,0,0,5,0,900,0,132,434,334,85613,905,1.0
29,ZCTA5 84782,301,279,0,43,141,95,22,0,22,0,0,84782,301,1.0
30,ZCTA5 43210,335,0,0,0,0,0,335,0,5,27,303,43210,335,1.0
31,ZCTA5 82832,334,304,0,88,117,99,30,0,0,30,0,82832,334,1.0
32,ZCTA5 16851,354,309,0,0,47,262,45,0,0,15,30,16851,354,1.0
33,ZCTA5 94923,500,303,0,0,76,227,197,0,11,65,121,94923,500,1.0
34,ZCTA5 49654,317,259,0,22,87,150,58,0,0,11,47,49654,317,1.0
35,ZCTA5 55402,313,0,0,0,0,0,313,0,32,36,245,55402,313,1.0
36,ZCTA5 43002,2137,1454,0,115,404,935,683,0,19,21,643,43002,2137,1.0
37,ZCTA5 11941,718,596,0,145,165,286,122,0,0,52,70,11941,718,1.0
38,ZCTA5 15351,340,188,0,28,124,36,152,0,95,39,18,15351,340,1.0
39,ZCTA5 98279,340,259,0,17,86,156,81,0,11,33,37,98279,340,1.0
