,NAME,Estimate!!Total,Estimate!!Total!!Owner occupied,"Estimate!!Total!!Owner occupied!!Less than $5,000","Estimate!!Total!!Owner occupied!!$5,000 to $9,999","Estimate!!Total!!Owner occupied!!$10,000 to $14,999","Estimate!!Total!!Owner occupied!!$15,000 to $19,999","Estimate!!Total!!Owner occupied!!$20,000 to $24,999","Estimate!!Total!!Owner occupied!!$25,000 to $34,999","Estimate!!Total!!Owner occupied!!$35,000 to $49,999","Estimate!!Total!!Owner occupied!!$50,000 to $74,999","Estimate!!Total!!Owner occupied!!$75,000 to $99,999","Estimate!!Total!!Owner occupied!!$100,000 to $149,999","Estimate!!Total!!Owner occupied!!$150,000 or more",Estimate!!Total!!Renter occupied,"Estimate!!Total!!Renter occupied!!Less than $5,000","Estimate!!Total!!Renter occupied!!$5,000 to $9,999","Estimate!!Total!!Renter occupied!!$10,000 to $14,999","Estimate!!Total!!Renter occupied!!$15,000 to $19,999","Estimate!!Total!!Renter occupied!!$20,000 to $24,999","Estimate!!Total!!Renter occupied!!$25,000 to $34,999","Estimate!!Total!!Renter occupied!!$35,000 to $49,999","Estimate!!Total!!Renter occupied!!$50,000 to $74,999","Estimate!!Total!!Renter occupied!!$75,000 to $99,999","Estimate!!Total!!Renter occupied!!$100,000 to $149,999","Estimate!!Total!!Renter occupied!!$150,000 or more",zip code tabulation area,50k or Higher Total,% 50k or Higher
0,ZCTA5 07703,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,7703,17,1.0
1,ZCTA5 57650,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,57650,9,1.0
2,ZCTA5 80475,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,80475,30,1.0
3,ZCTA5 24131,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,9,17,0,24131,26,1.0
4,ZCTA5 19472,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,19472,6,1.0
5,ZCTA5 19736,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,19736,26,1.0
6,ZCTA5 88009,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,88009,3,1.0
7,ZCTA5 38054,41,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,19,5,0,17,38054,41,1.0
8,ZCTA5 06389,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,6389,7,1.0
9,ZCTA5 08890,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,8890,7,1.0
10,ZCTA5 99732,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,99732,7,1.0
11,ZCTA5 80488,51,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,26,0,25,0,80488,51,1.0
12,ZCTA5 97604,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,97604,8,1.0
13,ZCTA5 28533,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,0,28533,19,1.0
14,ZCTA5 39762,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,39762,19,1.0
15,ZCTA5 41729,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,41729,19,1.0
16,ZCTA5 29905,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,11,0,0,29905,16,1.0
17,ZCTA5 92280,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,92280,19,1.0
18,ZCTA5 23708,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,23708,5,1.0
19,ZCTA5 92267,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,92267,5,1.0
20,ZCTA5 29409,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,29409,5,1.0
21,ZCTA5 80914,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,18,80914,22,1.0
22,ZCTA5 98438,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,98438,4,1.0
23,ZCTA5 38945,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,38945,9,1.0
24,ZCTA5 43463,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,43463,9,1.0
25,ZCTA5 45041,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,11,6,0,0,45041,17,1.0
26,ZCTA5 84728,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,7,6,0,84728,20,1.0
27,ZCTA5 93928,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,0,0,93928,17,1.0
28,ZCTA5 10279,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,10279,18,1.0
