,NAME,Estimate!!Total,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from abroad,zip code tabulation area,Movers Total,%Movers
0,ZCTA5 80475,30,0,0,30,0,80475,30,1.0
1,ZCTA5 12438,32,0,32,0,0,12438,32,1.0
2,ZCTA5 80479,5,5,0,0,0,80479,5,1.0
3,ZCTA5 15752,55,55,0,0,0,15752,55,1.0
4,ZCTA5 79770,69,0,0,69,0,79770,69,1.0
5,ZCTA5 61091,45,0,45,0,0,61091,45,1.0
6,ZCTA5 79920,6,6,0,0,0,79920,6,1.0
7,ZCTA5 24570,6,0,6,0,0,24570,6,1.0
8,ZCTA5 86003,3,0,0,3,0,86003,3,1.0
9,ZCTA5 25201,32,32,0,0,0,25201,32,1.0
10,ZCTA5 76508,8,4,4,0,0,76508,8,1.0
11,ZCTA5 41366,27,14,0,13,0,41366,27,1.0
12,ZCTA5 42163,84,0,84,0,0,42163,84,1.0
13,ZCTA5 77326,46,46,0,0,0,77326,46,1.0
14,ZCTA5 92280,19,19,0,0,0,92280,19,1.0
15,ZCTA5 82648,19,0,19,0,0,82648,19,1.0
16,ZCTA5 81335,24,0,0,24,0,81335,24,1.0
17,ZCTA5 19375,23,23,0,0,0,19375,23,1.0
18,ZCTA5 57117,34,34,0,0,0,57117,34,1.0
19,ZCTA5 04741,4,0,0,4,0,4741,4,1.0
20,ZCTA5 30609,2291,25,1891,291,0,30609,2207,0.9633347883020515
21,ZCTA5 39309,371,7,0,350,0,39309,357,0.9622641509433962
22,ZCTA5 39534,2651,21,74,2384,24,39534,2503,0.944172010562052
23,ZCTA5 95314,95,28,48,10,0,95314,86,0.9052631578947369
24,ZCTA5 65623,21,19,0,0,0,65623,19,0.9047619047619048
25,ZCTA5 83460,227,10,7,167,21,83460,205,0.9030837004405287
26,ZCTA5 58105,2387,386,357,1335,43,58105,2121,0.8885630498533724
27,ZCTA5 16332,43,0,38,0,0,16332,38,0.8837209302325582
28,ZCTA5 48109,5534,1142,1850,1699,171,48109,4862,0.8785688471268522
29,ZCTA5 66031,641,308,117,138,0,66031,563,0.8783151326053042
30,ZCTA5 72467,278,25,177,35,7,72467,244,0.8776978417266187
31,ZCTA5 82073,48,0,23,19,0,82073,42,0.875
32,ZCTA5 79406,6880,416,4798,649,133,79406,5996,0.8715116279069768
33,ZCTA5 32612,7606,1212,4602,693,109,32612,6616,0.8698396003155404
34,ZCTA5 81231,680,0,391,180,16,81231,587,0.8632352941176471
35,ZCTA5 97331,2768,189,1567,506,111,97331,2373,0.8572976878612717
36,ZCTA5 17576,212,0,0,181,0,17576,181,0.8537735849056604
37,ZCTA5 53706,6072,906,2327,1553,391,53706,5177,0.8526021080368906
38,ZCTA5 23173,2219,729,514,448,188,23173,1879,0.846777827850383
39,ZCTA5 66621,689,102,326,59,90,66621,577,0.8374455732946299
40,ZCTA5 14627,2360,260,761,692,250,14627,1963,0.8317796610169491
41,ZCTA5 96119,59,0,49,0,0,96119,49,0.8305084745762712
42,ZCTA5 19735,53,44,0,0,0,19735,44,0.8301886792452831
43,ZCTA5 86011,9124,926,3875,2550,124,86011,7475,0.8192678649715037
44,ZCTA5 30460,2079,635,995,52,21,30460,1703,0.8191438191438192
45,ZCTA5 23461,430,0,26,308,14,23461,348,0.8093023255813954
46,ZCTA5 30250,656,23,182,142,183,30250,530,0.8079268292682927
47,ZCTA5 23389,258,206,0,0,0,23389,206,0.7984496124031008
48,ZCTA5 70803,729,129,298,153,0,70803,580,0.7956104252400549
49,ZCTA5 94964,3418,41,2629,25,0,94964,2695,0.7884727911059098
50,ZCTA5 23187,239,114,30,24,20,23187,188,0.7866108786610879
51,ZCTA5 53295,181,69,54,19,0,53295,142,0.7845303867403315
52,ZCTA5 23130,336,215,48,0,0,23130,263,0.7827380952380952
53,ZCTA5 94720,2971,351,1196,282,481,94720,2310,0.7775159878828677
